pooling,split,balanced_families,trait,metric,mean,std,ci95,lo,hi,n
mean,family,True,pigmentation,acc,0.6961301565170288,0.004030436573894405,0.010012967576748154,0.6861171889402806,0.706143124093777,3
mean,family,True,sporulation,acc,0.8953440388043722,0.004679761716321916,0.011626110837705567,0.8837179279666666,0.9069701496420778,3
mean,family,True,temperature_class,acc,0.8446812828381857,0.027558675240497984,0.06846506987073307,0.7762162129674526,0.9131463527089188,3
mean,genus,False,amr_phenotype,f1,0.4117518849535619,0.007344705541371343,0.018246732605310196,0.39350515234825173,0.4299986175588721,3
mean,genus,False,biosafety_level,acc,0.8466742038726807,0.00526118278503418,0.013070557413831414,0.8336036464588492,0.8597447612865121,3
mean,genus,False,carbon_utilization,f1,0.5667138433522926,0.004164386147607585,0.010345743620712382,0.5563680997315802,0.577059586973005,3
mean,genus,False,catalase,acc,0.8988922437032064,0.0006977186624896324,0.0017333691318829852,0.8971588745713235,0.9006256128350894,3
mean,genus,False,cell_shape,acc,0.6075720191001892,0.008414393972257175,0.020904200445160902,0.5866678186550283,0.6284762195453502,3
mean,genus,False,country,acc,0.035359801103671394,0.0006203483790168547,0.0015411551804627853,0.03381864592320861,0.03690095628413418,3
mean,genus,False,cultivation_medium,f1,0.3993071986948575,0.0012387408677495117,0.00307745126796125,0.3962297474268962,0.40238464996281875,3
mean,genus,False,cytochrome_oxidase,acc,0.8337574203809103,0.000367287362996392,0.0009124660293261211,0.8328449543515841,0.8346698864102364,3
mean,genus,False,fatty_acid_profile,rmse,0.08770375277923288,0.001783283203136681,0.00443027859781301,0.08327347418141987,0.0921340313770459,3
mean,genus,False,gram_stain,acc,0.9421307047208151,0.0005403147087422797,0.0013423244754473369,0.9407883802453677,0.9434730291962624,3
mean,genus,False,halophily,acc,0.50939412911733,0.013439564054497748,0.03338842248379259,0.47600570663353736,0.5427825516011225,3
mean,genus,False,isolation_source,acc,0.3750855525334676,0.010335164813369494,0.025676044835168867,0.3494095076982987,0.4007615973686365,3
mean,genus,False,metabolite_production,f1,0.11750770486811156,0.002473154596035468,0.006144152458020448,0.1113635524100911,0.12365185732613201,3
mean,genus,False,motility,acc,0.7097102204958597,0.008820193827819504,0.021912344531266337,0.6877978759645934,0.7316225650271261,3
mean,genus,False,oxygen_tolerance,acc,0.6042553186416626,0.005331898119272139,0.013246238220593105,0.5910090804210695,0.6175015568622557,3
mean,genus,False,pathogenicity_animal,acc,0.8512600859006246,0.006548234354593733,0.016268028804170248,0.8349920570964544,0.8675281147047949,3
mean,genus,False,pathogenicity_human,acc,0.8440903027852377,0.00046006415777183216,0.001142954965432485,0.8429473478198052,0.8452332577506702,3
mean,genus,False,ph_class,acc,0.5843030015627543,0.0037697394168053834,0.009365307668590726,0.5749376938941636,0.593668309231345,3
mean,genus,False,pigmentation,acc,0.7143369118372599,0.004476730210149551,0.011121711909428204,0.7032151999278317,0.7254586237466881,3
mean,genus,False,sporulation,acc,0.9107933441797892,0.002948657144040649,0.007325461606184642,0.9034678825736046,0.9181188057859738,3
mean,genus,False,temperature_class,acc,0.8255033493041992,0.003954594060033549,0.009824549121748367,0.8156788001824509,0.8353278984259476,3
mean,species,False,amr_phenotype,f1,0.42465539538105207,0.005410309876648975,0.013441039545426128,0.41121435583562593,0.4380964349264782,3
mean,species,False,biosafety_level,acc,0.836686392625173,0.003880155590604027,0.009639618787975524,0.8270467738371975,0.8463260114131484,3
mean,species,False,carbon_utilization,f1,0.5751080821098097,0.0016969827758180117,0.004215879148830642,0.5708922029609791,0.5793239612586403,3
mean,species,False,catalase,acc,0.9097531835238138,0.0006813091819555472,0.0016926024324134255,0.9080605810914004,0.9114457859562273,3
mean,species,False,cell_shape,acc,0.6057523290316263,0.003418924310514707,0.008493764295975918,0.5972585647356504,0.6142460933276023,3
